Funding block,address,Funding Amount[CELO],Funding Entity,Exists_in_Large_File,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,EarliestLZdata,affinity,Onmichain Balance$,eth linea base scroll zks Balance$
20748207,0xe4493e5f1487ff5a6cdfedc2cf325a016d560893,1.999,Tether : Binance,FALSE,6,[nan nan nan nan nan nan],0,0,1,2,4,2023/8/9 11:13,0,4.78,"[2.47, 0.0, 0.38, 0, 0.26]"
20694356,0xfe803c512d7b9f4dc22350a287fd51ad05cc1e6b,1.999,Tether : Binance,FALSE,10,[nan nan 'Stargate' nan nan nan nan nan nan nan],19.59,1.96,2,5,7,2023/7/14 11:16,0,397.89,"[133.68, 67.57, 0, 12.5, 109.76]"
20692988,0x29beee77d7b4f5a997f93405d4d082cd2e21bda7,1.999,Tether : Binance,FALSE,11,"['Stargate' 'Stargate' 'Stargate' 'Angle' 'Angle' 'Stargate' 'Stargate'
 'Angle' 'Stargate' 'Stargate' 'Stargate']",207.21,18.84,2,3,9,2023/1/6 17:04,0,108.49,"[25.64, 0, 0, 0, 1.7]"
20691824,0xec91d830fb3ee799147388351fb43a53a78b9c92,1.999,Tether : Binance,FALSE,8,['Stargate' 'Stargate' nan 'Stargate' 'Stargate' 'Stargate' 'Stargate' nan],1515.1,189.39,2,5,7,2023/6/6 18:59,0,822.81,"[189.12, 398.08, 0, 49.24, 117.65]"
20674701,0x1d7a92401e18694c29162f121191d373997ba033,1.999,Tether : Binance,FALSE,33,"[nan nan nan nan nan nan nan 'Merkly' 'Merkly' nan 'Merkly' nan nan nan
 nan 'Merkly' nan nan nan nan 'Merkly' 'Merkly' 'Merkly' nan nan nan
 'Merkly' nan nan nan 'Merkly' nan nan]",1.43,0.04,2,3,10,2023/7/27 12:23,0,105.33,"[2.65, 0, 45.24, 0, 3.52]"
20667698,0x76e954ba8213bc05c1905c806057051c89b1026d,2.045453,Tether : Binance,FALSE,8,[nan 'CoreDAO' 'CoreDAO' nan 'CoreDAO' nan 'Aptos Bridge' nan],0,0,3,2,6,2023/7/31 20:08,0,54.53,"[17.6, 0, 15.18, 0, 0]"
20665329,0x38be5ac3977e9c503f05c49ca0fbb9d03c2e9a41,1.999,Tether : Binance,FALSE,6,['Angle' 'Stargate' 'Angle' 'Merkly' 'Angle' 'Stargate'],0.27,0.05,3,5,6,2022/11/27 16:09,0,13.39,"[0.0, 0.0, 0.0, 0, 0.01]"
20664003,0xb62e6bd28ab86217da2bbb1fbad811e67d131f6c,1.999,Tether : Binance,FALSE,15,"[nan nan nan nan nan nan nan nan nan nan 'StakeStone' 'Stargate' nan nan
 'CoreDAO']",130.74,8.72,4,6,11,2023/7/21 12:05,0,6625.78,"[343.24, 445.26, 0.0, 237.41, 125.42]"
20658095,0xeece1bc96158167ee009143ea76e4767ce3e6022,2.0105,Tether : Binance,FALSE,14,"[nan 'Stargate' 'Angle' 'Stargate' 'Angle' 'Stargate' nan 'Angle' nan nan
 'Angle' 'Angle' 'Stargate' 'CoreDAO']",80.54,5.75,4,7,7,2023/4/10 10:04,0,64.31,"[16.08, 0.75, 0.0, 0, 25.84]"
20658085,0xec16bbf8059fd6e8b7d103cf9a08c25183c4c413,1.9999,Tether : Binance,FALSE,14,"['Angle' 'Angle' 'Stargate' 'Stargate' 'Angle' nan 'CoreDAO' 'Angle'
 'Angle' nan 'Stargate' 'Stargate' nan nan]",97.26,6.95,4,7,7,2023/4/10 10:04,0,96.33,"[16.79, 29.86, 0.0, 0, 25.58]"
20657909,0x92321b7ff450632586da1865fab8f8d0299bfdb9,2.0123,Tether : Binance,FALSE,17,"['Stargate' 'Angle' 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Angle' nan
 'Stargate' 'Stargate' nan nan 'Angle' 'CoreDAO' 'Angle' nan 'CoreDAO']",1181.73,69.51,4,7,7,2023/4/8 16:43,0,122.55,"[33.35, 41.89, 0.0, 0, 19.14]"
20654910,0xdeffcf3848df2d86546754a1ead118850b67f7c6,1.999,Tether : Binance,FALSE,8,[nan nan nan nan nan nan 'StakeStone' nan],0,0,2,5,7,2023/7/11 6:15,0,1787.37,"[1599.66, 0.03, 0, 39.63, 0]"
20654895,0xdf2748ee9de8e6a470abadd6088e354008e6df00,1.999,Tether : Binance,FALSE,7,[nan nan nan nan nan nan 'StakeStone'],0,0,2,5,7,2023/7/12 7:32,0,367.81,"[83.15, 33.94, 0, 40.16, 59.19]"
