Funding block,address,Funding Amount[CELO],Funding Entity
20549507,0x0859f80d8eeb9167e6edb99f4a03ff8e3e31d92f,1.081,Tether : Binance
20549483,0xb6ec46cb893fc143a9c1621e207e7c1c8063dd5c,1.056,Tether : Binance
20549458,0x59de4886f880d7f24ab5731b8316eb0da0a19afe,1.049,Tether : Binance
20549440,0xf73b009f21f67f2239e2c9d4e00c516d73533d6f,1.094,Tether : Binance
20549408,0x7b9b18d9962d3a4ab2e48cc3ee1d69b2472b2717,1.081,Tether : Binance
20549387,0x91c2a7da523c63abb563df24ca1266efbb5cfbda,1.098,Tether : Binance
20549315,0xb7c7c1530a6f32c731344587d910d5fda0b0ddf6,1.091,Tether : Binance
20549267,0x403cd36937ff0ba7753bc58ed904cb312eec3026,1.052,Tether : Binance
20549222,0x551db788792ce4f908dba3d92efc1c53f51dd3c5,1.062,Tether : Binance
20549198,0x64100f9bf38973d711ed7eacba9d2c4b3767e8f0,1.094,Tether : Binance
20549174,0x402820eac4f8a474c9933aa48737e9baa2e08ddc,1.072,Tether : Binance
20549155,0xcf9515c829acc72cf8442be3c7503027b6b37d30,1.058,Tether : Binance
20549105,0xd7704a0ed313b9a82547520935f81079c26bb307,1.08,Tether : Binance
20549042,0x603554dadb2fe572b3686da5433457ce02e80ca2,1.055,Tether : Binance
20549021,0x22a861d782d4d9616f82057b768d7e87d458348a,1.071,Tether : Binance
20548972,0x0ac9117dd9d6e752cf763d7a260744a2c35eaa46,1.066,Tether : Binance
20548948,0xe7d1d24380aee08c4488fe37c65bcfe3bcd6b6ea,1.075,Tether : Binance
20548928,0xf37c99e95301bab358a8051ada396f562939a174,0.999,Tether : Binance
20548922,0x86dbb8388a6e8b8ba431aa33241430ab7056e2d7,1.09,Tether : Binance
20548901,0x7a0680d37ab4a792a397372c60e89d7e0aad51b0,1.086,Tether : Binance
20548888,0x5e6acf29d1b061731a02e8dcbde42d4feb3a8bce,1.066,Tether : Binance
20548872,0x9e822e198769068f5634377c51222bc87875d3ab,1.052,Tether : Binance
20548832,0xa11870b33c5f24ba1c0f2c663c5874a6b84382b7,1.052,Tether : Binance
