Funding block,address,Funding Amount[CELO],Funding Entity,Number of LZ tx,Projects,Total LZ Volume $,Average LZ Volume $,Number of OAPPS,Number of Sendchian,Number of Chian,Onmichain Balance$,eth linea base scroll zks Balance$
19737292,0x305bcf212c692471f64f283079fcb57e475208ac,1.002541,Tether : Binance,88,"['CoreDAO' 'Merkly' 'CoreDAO' 'CoreDAO' 'Merkly' 'CoreDAO'
 'Harmony Bridge' 'Abracadabra Money' 'CoreDAO' 'Angle' 'CoreDAO'
 'Harmony Bridge' 'Merkly' 'Aptos Bridge' 'CoreDAO' 'Harmony Bridge'
 'Harmony Bridge' 'Harmony Bridge' 'Harmony Bridge' 'Abracadabra Money'
 'Stargate' 'Angle' 'Stargate' 'CoreDAO' 'Harmony Bridge' 'Harmony Bridge'
 'L2Pass' 'CoreDAO' 'Merkly' 'CoreDAO' 'Abracadabra Money' 'CoreDAO'
 'CoreDAO' 'CoreDAO' 'Angle' 'Harmony Bridge' 'Angle' 'Abracadabra Money'
 'CoreDAO' 'Angle' 'Harmony Bridge' 'Angle' 'Merkly' 'CoreDAO' 'Angle'
 'CoreDAO' 'Angle' 'Abracadabra Money' 'Angle' 'Angle' 'Angle'
 'Abracadabra Money' 'Angle' 'Abracadabra Money' 'Abracadabra Money'
 'CoreDAO' 'Abracadabra Money' 'Angle' 'Angle' 'Bitcoin Bridge' 'Merkly'
 'Harmony Bridge' 'Angle' 'Harmony Bridge' 'CoreDAO' 'Harmony Bridge'
 'Merkly' 'Harmony Bridge' 'Aptos Bridge' 'Harmony Bridge'
 'Abracadabra Money' 'CoreDAO' 'CoreDAO' 'Harmony Bridge' 'CoreDAO'
 'CoreDAO' 'Abracadabra Money' 'Stargate' 'Angle' 'Merkly' 'Merkly'
 'Bitcoin Bridge' 'Harmony Bridge' 'Angle' 'Angle' 'CoreDAO' 'CoreDAO'
 'Harmony Bridge']",2935.68,33.36,9,7,14,101.32,"[3.3, 0, 0.0, 0, 64.77]"
19737271,0x8cb1bc2908f5bcaddfd757b4ff087679b8f8ae86,0.9225,Tether : Binance,44,"['Harmony Bridge' 'Stargate' 'CoreDAO' 'Stargate' 'Stargate' 'CoreDAO'
 'Stargate' 'CoreDAO' 'Stargate' 'Angle' 'Angle' 'Stargate' 'CoreDAO'
 'CoreDAO' 'Merkly' 'CoreDAO' 'Bitcoin Bridge' 'Harmony Bridge' 'Stargate'
 'Angle' 'Holograph' 'Merkly' 'Stargate' 'Stargate' 'CoreDAO' 'Merkly'
 'Stargate' 'CoreDAO' 'Stargate' 'CoreDAO' 'Merkly' 'Stargate' 'CoreDAO'
 'Stargate' 'Merkly' 'Stargate' 'Stargate' 'Holograph' 'Bitcoin Bridge'
 'CoreDAO' 'Stargate' 'Stargate' 'Angle' 'Aptos Bridge']",1832.0,41.64,8,14,19,59.49,"[4.33, 2.93, 0.05, 1.73, 46.02]"
19737260,0xaa6b2e190dedf8f33bd82c9dc9f0734b4d8da5b9,0.929,Tether : Binance,51,"['Merkly' 'CoreDAO' 'Holograph' 'Stargate' 'Bitcoin Bridge' 'Stargate'
 'CoreDAO' 'Stargate' 'CoreDAO' 'Stargate' 'Merkly' 'CoreDAO' 'Angle'
 'Angle' 'Stargate' 'Merkly' 'Aptos Bridge' 'Bitcoin Bridge' 'Merkly'
 'Merkly' 'CoreDAO' 'Holograph' 'Stargate' 'Merkly' 'Harmony Bridge'
 'Stargate' 'CoreDAO' 'Angle' 'Stargate' 'Stargate' 'CoreDAO' 'Merkly'
 'Merkly' 'CoreDAO' 'Stargate' 'Harmony Bridge' 'Stargate' 'Merkly'
 'Stargate' 'Merkly' 'CoreDAO' 'CoreDAO' 'Holograph' 'Merkly' 'Stargate'
 'CoreDAO' 'Angle' 'Angle' 'Angle' 'Angle' 'Stargate']",1497.11,29.36,8,12,21,72.35,"[2.58, 0, 0.0, 17.8, 42.95]"
19737260,0x27780d455b876f5e01b49ed18735344695e84125,1.049,Tether : Binance,56,"['Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Harmony Bridge' 'Stargate' 'Angle' 'Angle'
 'Aptos Bridge' 'Harmony Bridge' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Stargate' 'CoreDAO' 'Stargate'
 'Stargate' 'Angle' 'Stargate' 'Stargate' 'CoreDAO' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Merkly' 'Stargate' 'Stargate' 'Stargate'
 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Harmony Bridge' 'Angle'
 'Stargate' 'Angle' 'Stargate' 'Stargate' 'Stargate' 'Stargate' 'Stargate']",24133.33,430.95,6,11,13,111.49,"[0.74, 0, 0, 0, 3.65]"
19737251,0x1b36a363ab8eb5dd984214e2699bdad3fb58a428,0.919,Tether : Binance,40,"['Harmony Bridge' 'CoreDAO' 'Merkly' 'Stargate' 'Bitcoin Bridge'
 'Holograph' 'CoreDAO' 'CoreDAO' 'CoreDAO' 'Stargate' 'Holograph'
 'Holograph' 'Angle' 'Bitcoin Bridge' 'Stargate' 'CoreDAO' 'CoreDAO'
 'Stargate' 'CoreDAO' 'Angle' 'CoreDAO' 'Harmony Bridge' 'Aptos Bridge'
 'CoreDAO' 'Stargate' 'Stargate' 'Stargate' 'Merkly' 'Holograph' 'Merkly'
 'Stargate' 'Stargate' 'Merkly' 'CoreDAO' 'Stargate' 'CoreDAO' 'Angle'
 'Stargate' 'Angle' 'Angle']",3369.0,84.22,8,12,19,89.72,"[4.26, 0, 0.03, 40.37, 41.37]"
19737167,0x37f8c9dec4821fa3d8e7ca78a48a9a3692ce4da4,0.936455,Tether : Binance,99,"['Abracadabra Money' 'Angle' 'CoreDAO' 'Harmony Bridge' 'Angle'
 'Harmony Bridge' 'Harmony Bridge' 'L2Pass' 'Merkly' 'CoreDAO'
 'Abracadabra Money' 'Merkly' 'Abracadabra Money' 'Stargate' 'Stargate'
 'Harmony Bridge' 'Abracadabra Money' 'Stargate' 'Stargate' 'Merkly'
 'Merkly' 'Harmony Bridge' 'Angle' 'Abracadabra Money' 'Aptos Bridge'
 'CoreDAO' 'Bitcoin Bridge' 'Angle' 'Harmony Bridge' 'Harmony Bridge'
 'Harmony Bridge' 'Angle' 'Merkly' 'Harmony Bridge' 'Angle' 'Stargate'
 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money' 'Merkly'
 'Bitcoin Bridge' 'Harmony Bridge' 'Harmony Bridge' 'Abracadabra Money'
 'Merkly' 'Harmony Bridge' 'Merkly' 'Abracadabra Money' 'Stargate'
 'Harmony Bridge' 'Abracadabra Money' 'Angle' 'Harmony Bridge'
 'Harmony Bridge' 'Merkly' 'Harmony Bridge' 'Harmony Bridge' 'Merkly'
 'Abracadabra Money' 'Angle' 'Angle' 'Abracadabra Money' 'Merkly'
 'Stargate' 'Angle' 'Merkly' 'Stargate' 'Harmony Bridge' 'Stargate'
 'CoreDAO' 'Harmony Bridge' 'Abracadabra Money' 'Merkly'
 'Abracadabra Money' 'Angle' 'Merkly' 'Merkly' 'Harmony Bridge'
 'Harmony Bridge' 'Angle' 'Angle' 'Harmony Bridge' 'Harmony Bridge'
 'Harmony Bridge' 'Merkly' 'Merkly' 'Stargate' 'Angle' 'Harmony Bridge'
 'Harmony Bridge' 'Harmony Bridge' 'Merkly' 'Bitcoin Bridge' 'Merkly'
 'Holograph' 'Harmony Bridge' 'Merkly' 'CoreDAO' 'Merkly']",9243.05,93.36,10,10,19,7.37,"[0, 0, 0.52, 0, 0]"
19737044,0xba71aa653f12e87570a0c7ee7577abecdee0b700,0.9213,Tether : Binance,110,"['Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Merkly'
 'Abracadabra Money' 'Abracadabra Money' 'Angle' 'L2Pass'
 'Abracadabra Money' 'Abracadabra Money' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'L2Pass' 'Angle' 'Merkly' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'L2Pass' 'CoreDAO' 'Abracadabra Money'
 'Abracadabra Money' nan 'Abracadabra Money' 'CoreDAO' 'Angle' 'Holograph'
 'Abracadabra Money' 'Abracadabra Money' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'CoreDAO' 'Abracadabra Money' 'CoreDAO'
 'L2Pass' 'Angle' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'CoreDAO' 'Merkly' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Angle' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Harmony Bridge' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'CoreDAO' 'Abracadabra Money'
 'Abracadabra Money' 'Aptos Bridge' 'CoreDAO' 'Angle' nan
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Merkly' 'Merkly'
 'Abracadabra Money' 'Merkly' 'Abracadabra Money' 'Abracadabra Money'
 'Merkly' 'CoreDAO' 'Abracadabra Money' 'CoreDAO' 'Angle']",0.01,0.0,9,8,14,17.27,"[2.35, 0, 0.06, 0, 9.15]"
19737020,0xa92f6c0fe4feb4de224669e6e37a35f1ab40babd,1.076,Tether : Binance,105,"['Abracadabra Money' 'Abracadabra Money' 'Harmony Bridge' 'Merkly'
 'Abracadabra Money' 'Merkly' 'Abracadabra Money' 'Abracadabra Money'
 'L2Pass' 'Angle' 'Abracadabra Money' nan 'Merkly' 'Merkly' 'L2Pass'
 'Angle' 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Merkly' 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'L2Pass'
 'Abracadabra Money' 'Abracadabra Money' 'Holograph' 'Angle' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO'
 'Abracadabra Money' 'Merkly' 'Abracadabra Money' 'Abracadabra Money'
 'Aptos Bridge' 'Abracadabra Money' 'Angle' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'L2Pass' 'Merkly' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Angle' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Harmony Bridge'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Angle'
 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' nan
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO'
 'Abracadabra Money' 'Angle' 'Angle' 'Abracadabra Money' 'Angle']",0.01,0.0,9,9,14,20.05,"[3.5, 0, 0.1, 0, 7.33]"
19736982,0x444e9e78792cf076df4ebb06fcfabade62d34677,0.952807,Tether : Binance,101,"['Merkly' 'Abracadabra Money' 'Harmony Bridge' 'Abracadabra Money'
 'Stargate' 'Holograph' 'Harmony Bridge' 'Harmony Bridge'
 'Abracadabra Money' 'Aptos Bridge' 'Holograph' 'Angle'
 'Abracadabra Money' 'Harmony Bridge' nan 'Angle' 'Angle' 'Harmony Bridge'
 'Abracadabra Money' 'Harmony Bridge' 'Stargate' 'CoreDAO'
 'Bitcoin Bridge' 'Abracadabra Money' 'Angle' 'Abracadabra Money'
 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Merkly'
 'Harmony Bridge' 'Angle' 'Merkly' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'CoreDAO' 'Angle' 'Abracadabra Money' 'Holograph'
 'Stargate' 'CoreDAO' 'Stargate' 'Abracadabra Money' 'Angle'
 'Abracadabra Money' 'Stargate' 'Stargate' 'CoreDAO' 'CoreDAO'
 'Harmony Bridge' 'Abracadabra Money' 'CoreDAO' 'Angle' 'Angle'
 'Abracadabra Money' 'CoreDAO' 'CoreDAO' 'Angle' 'Harmony Bridge' 'Merkly'
 'Angle' 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Stargate' 'Harmony Bridge' 'Stargate' 'Angle'
 'Abracadabra Money' 'Stargate' 'CoreDAO' 'Abracadabra Money' 'CoreDAO'
 'CoreDAO' 'Stargate' 'CoreDAO' 'Abracadabra Money' 'Merkly'
 'Harmony Bridge' 'Abracadabra Money' 'CoreDAO' 'Merkly' 'CoreDAO' 'Angle'
 'Bitcoin Bridge' 'Abracadabra Money' 'Abracadabra Money' 'Merkly'
 'l2telegraph' 'Abracadabra Money' 'Harmony Bridge' 'Aptos Bridge'
 'Merkly' 'Abracadabra Money' 'Abracadabra Money']",11041.83,109.33,11,10,19,153.7,"[0.07, 0, 0.02, 47.64, 59.3]"
19736958,0xc881f795ce59f551e322bbab5bfef20009037c72,1.023,Tether : Binance,89,"['Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Merkly' 'Merkly'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'L2Pass'
 'Angle' 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money'
 'Angle' 'Angle' 'Angle' 'Holograph' 'Merkly' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO'
 'Angle' 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' nan
 'Angle' 'Angle' 'L2Pass' 'CoreDAO' 'Abracadabra Money' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'CoreDAO' 'Abracadabra Money' 'CoreDAO'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Merkly'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' nan 'Merkly' 'Abracadabra Money' 'Aptos Bridge'
 'Angle' 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO'
 'Abracadabra Money' 'Harmony Bridge' 'Merkly' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Angle' 'CoreDAO'
 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'CoreDAO' 'L2Pass'
 'Abracadabra Money' 'Angle' 'Angle' 'Abracadabra Money']",0.01,0.0,9,9,14,32.18,"[5.73, 0, 0.14, 0, 8.45]"
19736923,0x7dc4039413745362c0d738ca7a766c5a5987f776,0.946,Tether : Binance,83,"['Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money'
 'Abracadabra Money' 'Aptos Bridge' 'L2Pass' 'Merkly' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Angle' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Angle'
 'L2Pass' 'Abracadabra Money' 'Abracadabra Money' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money' 'Abracadabra Money'
 'Angle' 'Abracadabra Money' 'L2Pass' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Merkly'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Merkly' 'L2Pass' 'L2Pass' 'Angle'
 'Abracadabra Money' 'Merkly' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Angle' 'Abracadabra Money' 'Abracadabra Money' nan
 'Merkly' 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money'
 'Abracadabra Money' 'Abracadabra Money' 'CoreDAO' 'Abracadabra Money'
 'Harmony Bridge' 'Merkly' 'Abracadabra Money' 'Abracadabra Money' 'Angle'
 'Abracadabra Money' 'Abracadabra Money' 'Abracadabra Money' 'Merkly'
 'Angle' 'Angle' nan]",0.04,0.0,8,8,17,37.37,"[6.37, 0, 0.15, 0, 6.51]"
